Geography Name,Percent Units Built in 1939 or Before
GeoID_Name,pysb39b
36061020600,31.38
36061020701,87.78
36061020800,60.09
36061020901,37.03
36061021000,8.69
36061021100,45.49
36061021200,4.57
36061021303,67.64
36061021400,2.17
36061021500,24.23
36061021600,54.11
36061021703,N/A
36061021800,47.17
36061021900,41.63
36061022000,67.66
36061022102,51.9
36061022200,42.26
36061022301,81.68
36061022302,9.98
36061022400,31.7
36061022500,73.6
36061022600,58.43
36061022700,75.34
36061022800,63.85
36061022900,75.85
36061023000,46.58
36061023100,66.48
36061023200,34.25
36061023300,78.81
36061023400,49.59
36061023501,78.36
36061023502,47.36
36061023600,21.71
36061023700,80.17
36061023802,6.36
36061023803,2.51
36061023804,0
36061023900,58.02
36061024000,N/A
36061024100,63
36061024200,9.16
36061024301,71.02
36061024302,18.07
36061024500,54.09
36061024700,70.46
36061024900,42.1
36061025100,62.46
36061025300,71.49
36061025500,71.08
36061025700,44.83
36061025900,22.98
36061026100,61.51
36061026300,58.07
36061026500,62.34
36061026700,41.51
36061026900,63.41
36061027100,71.93
36061027300,72.38
36061027500,59.55
36061027700,69.32
36061027900,50.88
36061028100,49.07
36061028300,33.65
36061028500,54.94
36061028700,70.05
36061029100,51.8
36061029300,53.63
36061029500,71.21
36061029700,N/A
36061029900,20.04
36061030300,73.88
36061030700,53.03
36061030900,38.53
36061031100,N/A
36061031703,0
36061031704,0.69
36061031900,N/A
36081000101,1.7
36081000102,2.2
36081000103,0
36081000104,N/A
36081000200,46.01
36081000400,72.66
36081000600,49.63
36081000701,41.5
36081000702,45.72
36081000800,73.92
36081001000,70.75
36081001200,75.41
36081001400,82.43
36081001600,82.65
36081001800,71.48
36081001901,30.97
36081001902,0.58
36081001903,7.18
36081002000,46.68
36081002200,67.51
36081002400,48.78
36081002500,29.04
36081002600,63.42
36081002800,61.81
36081003000,82.46
36081003100,54.7
36081003200,40.63
36081003301,10.6
36081003302,45.23
36081003400,79.25
36081003600,45.52
36081003700,N/A
36081003800,45.37
36081003900,35.35
36081004001,47.96
36081004002,25.54
36081004200,41.97
36081004300,5.29
36081004401,27.43
36081004500,6.7
36081004700,15.17
36081005000,N/A
36081005100,57.29
36081005200,34.73
36081005300,49.41
36081005400,61.31
36081005500,64.29
36081005700,53.57
36081005800,32.19
36081005900,52.17
36081006100,52.51
36081006201,10.29
36081006202,4.7
36081006300,61.7
36081006501,53.16
36081006502,40.75
36081006900,31.64
36081007100,58.77
36081007300,31.88
36081007500,34.71
